Value,Feature
2,is_lhp
8,is_strike
67,late_inning_pressure
135,pitch_name
175,pitch_type
175,stance_advantage
253,release_extension
276,is_top
320,count_pressure_impact
482,count_pressure
486,strikes
511,balls
687,outs_when_up
695,on_3b
763,bat_control
837,bat_pitch_speed_ratio
840,launch_angle_estimate
844,is_lhb
896,release_x_deviation
976,release_speed
985,pitch_number
1051,spin_efficiency
1105,vy0
1112,pitch_bat_speed_differential
1117,on_2b
1133,spray_angle
1149,pitch_location_accuracy
1167,plate_discipline_index
1256,pitch_location
1273,release_z_deviation
1313,inning
1314,swing_efficiency
1321,pfx_x
1349,bat_speed
1368,bat_to_pitch_speed_ratio
1374,release_pos_x
1385,contact_quality_score
1385,pfx_z
1468,vertical_movement
1505,horizontal_movement
1525,exit_velocity_pitch_speed_ratio
1529,on_1b
1533,az
1535,effective_speed
1536,approach_angle
1553,batter_readiness
1565,vz0
1618,baserunner_pressure
1641,sweet_spot_probability
1737,swing_efficiency_score
1801,ax
1830,power_potential
1854,contact_zone
1866,release_pos_z
1889,pitch_location_effectiveness
1890,movement_complexity
1908,release_angle
1913,spin_axis
1961,swing_decision_time
1964,strike_zone_coverage
1997,batter_pitcher_matchup
2010,plate_z
2071,swing_length
2083,exit_velocity_estimate
2101,horizontal_spray_effectiveness
2107,swing_aggressiveness
2110,magnus_effect
2110,pitch_deception_score
2151,tunneling_time
2214,batter_power_index
2280,pitch_speed_diff
2304,batter_contact_ability
2379,vx0
2479,sz_bot
2491,contact_quality
2509,release_pos_y
2522,exit_velocity_launch_angle_ratio
2593,swing_plane_efficiency
2638,vertical_approach_effectiveness
2653,break_time
2772,pitch_complexity
2881,relative_height
3077,sz_top
3169,pitch_movement_complexity
3289,pitch_speed_change
3336,vertical_change
3432,ay
3616,release_spin_rate
3925,horizontal_change
5495,plate_x
